Date,Time,CPU Core 1 (C),CPU Core 2 (C),CPU Core 3 (C),CPU Core 4 (C),CPU PECI (C),CPU Proximity (C),CPU System Agent Core (C),AMD Radeon GPU (C),AMD Radeon GPU Proximity (C),Intel Iris Pro GPU (C),Battery Sensor 1 (C),Battery Sensor 2 (C),Battery Sensor Max (C),Air Flow Proximity (C),AirPort Proximity (C),Heatpipe Outgoing Air (C),Heatpipe Outgoing Air (C),Left Heatsink Proximity (C),Platform Controller Hub Die (C),Right Heatsink Proximity (C),Memory Module Proximity (C),Memory Slot (C),Palmrest Proximity (C),Palmrest Proximity (C),SSD A (C),SSD B (C),CPU Average (C),Computer Average (C),Left Side (RPM),Right side (RPM),Fan Average (RPM),Shutdown Reason,Fan Diagnostics,Sensor Diagnostics
2016-05-08,01:17:36,60,60,57,56,56,44,54,35,42,49,24,24,24,26,34,31,32,36,42,37,37,33,22,23,37,36,55,39,3837,3518,3677,Normal,Fans appear to be working properly.,Temperature sensors appear to be working properly.
2016-05-08,01:17:37,57,59,56,55,55,44,53,35,42,49,24,24,24,27,34,31,32,36,42,36,37,33,22,23,37,36,54,39,3839,3519,3679,Normal,Fans appear to be working properly.,Temperature sensors appear to be working properly.
2016-05-08,01:17:38,51,51,50,48,53,43,49,35,42,48,24,24,24,26,34,31,32,36,42,37,36,33,22,23,37,36,49,37,3837,3521,3679,Normal,Fans appear to be working properly.,Temperature sensors appear to be working properly.
2016-05-08,01:17:39,51,52,50,47,49,43,49,35,42,48,24,24,24,27,34,31,32,36,42,36,36,33,22,23,37,36,49,37,3841,3521,3681,Normal,Fans appear to be working properly.,Temperature sensors appear to be working properly.
2016-05-08,01:17:40,55,55,53,55,53,42,52,35,42,48,24,24,24,27,34,31,32,36,42,36,37,33,22,23,38,36,52,38,3837,3521,3679,Normal,Fans appear to be working properly.,Temperature sensors appear to be working properly.
2016-05-08,01:17:41,51,49,49,47,52,43,48,35,42,48,24,24,24,27,34,31,32,36,42,37,37,33,22,23,38,36,49,37,3839,3521,3680,Normal,Fans appear to be working properly.,Temperature sensors appear to be working properly.
2016-05-08,01:17:42,74,71,68,70,64,43,56,35,42,49,24,24,24,26,34,31,32,36,42,36,37,33,22,23,38,36,64,41,3838,3521,3679,Normal,Fans appear to be working properly.,Temperature sensors appear to be working properly.
2016-05-08,01:17:43,78,79,70,65,75,43,58,35,42,51,24,24,24,26,34,31,32,36,42,37,37,33,22,23,38,36,67,42,3841,3522,3681,Normal,Fans appear to be working properly.,Temperature sensors appear to be working properly.
2016-05-08,01:17:44,69,67,64,59,69,42,58,35,41,51,24,24,24,26,34,31,32,36,42,36,37,34,22,23,38,36,61,41,3835,3510,3672,Normal,Fans appear to be working properly.,Temperature sensors appear to be working properly.
2016-05-08,01:17:45,75,64,57,54,74,43,58,35,41,51,24,24,24,26,34,31,32,36,42,37,37,34,22,23,38,36,61,40,3838,3519,3678,Normal,Fans appear to be working properly.,Temperature sensors appear to be working properly.
2016-05-08,01:17:46,53,53,49,50,55,44,51,35,41,50,24,24,24,26,34,31,32,36,42,36,37,34,22,23,38,36,51,38,3844,3521,3682,Normal,Fans appear to be working properly.,Temperature sensors appear to be working properly.
2016-05-08,01:17:47,53,53,49,50,55,44,51,93,41,48,24,24,24,27,34,31,32,36,42,37,36,34,22,23,38,36,51,40,3834,3520,3677,Normal,Fans appear to be working properly.,Temperature sensors appear to be working properly.
2016-05-08,01:17:48,51,50,47,47,51,44,49,35,41,48,24,24,24,27,34,31,32,36,42,37,36,34,22,23,38,36,48,37,3844,3521,3682,Normal,Fans appear to be working properly.,Temperature sensors appear to be working properly.
2016-05-08,01:17:49,50,50,47,47,50,43,49,35,41,49,24,24,24,27,34,31,32,36,42,36,37,34,22,23,38,36,48,37,3841,3521,3681,Normal,Fans appear to be working properly.,Temperature sensors appear to be working properly.
2016-05-08,01:17:50,48,48,47,45,49,43,48,35,42,48,24,24,24,27,34,31,32,36,42,36,37,34,22,23,38,36,47,37,3837,3521,3679,Normal,Fans appear to be working properly.,Temperature sensors appear to be working properly.
2016-05-08,01:17:51,49,48,46,46,49,42,48,35,41,48,24,24,24,27,34,31,32,35,42,36,37,34,22,23,38,36,47,37,3844,3520,3682,Normal,Fans appear to be working properly.,Temperature sensors appear to be working properly.
2016-05-08,01:17:52,47,46,45,44,48,43,48,35,41,47,24,24,24,27,34,31,32,36,42,36,37,34,22,23,38,36,46,36,3836,3521,3678,Normal,Fans appear to be working properly.,Temperature sensors appear to be working properly.
2016-05-08,01:17:53,48,49,47,46,51,43,48,35,41,46,24,24,24,27,34,31,32,36,42,36,37,34,22,23,38,36,47,37,3839,3520,3679,Normal,Fans appear to be working properly.,Temperature sensors appear to be working properly.
2016-05-08,01:17:54,51,51,49,48,54,42,49,35,41,47,24,24,24,27,34,31,32,36,42,36,37,34,22,23,38,36,49,37,3842,3521,3681,Normal,Fans appear to be working properly.,Temperature sensors appear to be working properly.
2016-05-08,01:17:55,52,51,49,47,55,42,49,35,40,47,24,24,24,27,34,31,32,36,42,36,37,34,22,23,38,36,49,37,3837,3521,3679,Normal,Fans appear to be working properly.,Temperature sensors appear to be working properly.
2016-05-08,01:17:56,49,49,47,47,53,42,49,35,40,47,24,24,24,27,34,31,32,36,42,36,37,34,22,23,38,36,48,37,3844,3520,3682,Normal,Fans appear to be working properly.,Temperature sensors appear to be working properly.
2016-05-08,01:17:57,49,48,47,46,51,42,48,35,40,46,24,24,24,27,34,31,32,36,42,36,37,34,22,23,38,36,47,37,3843,3521,3682,Normal,Fans appear to be working properly.,Temperature sensors appear to be working properly.
2016-05-08,01:17:58,50,50,47,46,50,42,48,35,41,46,24,24,24,26,34,31,32,36,42,37,37,34,22,23,38,36,47,37,3838,3521,3679,Normal,Fans appear to be working properly.,Temperature sensors appear to be working properly.
2016-05-08,01:17:59,50,49,46,45,51,42,47,35,41,46,24,24,24,27,34,31,32,36,42,36,37,34,22,23,38,36,47,37,3843,3514,3678,Normal,Fans appear to be working properly.,Temperature sensors appear to be working properly.
2016-05-08,01:18:01,47,47,43,43,47,42,48,35,41,46,24,24,24,27,34,31,32,36,42,36,37,34,22,23,38,36,45,36,3841,3524,3682,Normal,Fans appear to be working properly.,Temperature sensors appear to be working properly.
2016-05-08,01:18:02,49,49,45,45,50,41,47,35,41,46,24,24,24,27,34,31,32,35,42,36,37,34,22,23,38,36,46,36,3841,3517,3679,Normal,Fans appear to be working properly.,Temperature sensors appear to be working properly.
2016-05-08,01:18:06,60,59,55,55,59,40,51,35,40,48,24,24,24,26,34,31,32,35,42,36,37,34,22,23,38,36,54,38,2950,2692,2821,Normal,Fans appear to be working properly.,Temperature sensors appear to be working properly.
2016-05-08,01:18:06,60,59,55,55,59,40,51,35,40,48,24,24,24,26,34,31,32,35,42,36,37,34,22,23,38,36,54,38,2714,2490,2602,Normal,Fans appear to be working properly.,Temperature sensors appear to be working properly.
2016-05-08,01:18:07,48,47,44,44,49,41,46,35,40,47,24,24,24,26,34,31,32,35,42,36,37,34,23,23,38,36,46,36,2269,2092,2180,Normal,Fans appear to be working properly.,Temperature sensors appear to be working properly.
2016-05-08,01:18:08,48,50,47,45,51,40,47,35,40,47,24,24,24,26,34,31,32,35,42,36,37,34,23,23,38,36,47,36,2180,2009,2094,Normal,Fans appear to be working properly.,Temperature sensors appear to be working properly.
2016-05-08,01:18:09,47,47,45,43,48,40,45,35,40,46,24,24,24,27,34,31,32,36,42,36,37,34,23,23,38,36,45,36,2153,1992,2072,Normal,Fans appear to be working properly.,Temperature sensors appear to be working properly.
2016-05-08,01:18:10,46,45,43,43,46,40,47,35,40,45,24,24,24,27,34,31,32,35,42,36,37,34,23,23,38,36,44,36,2152,2005,2078,Normal,Fans appear to be working properly.,Temperature sensors appear to be working properly.
2016-05-08,01:18:11,48,47,45,45,47,41,45,35,40,46,24,24,24,27,34,31,32,35,42,36,37,34,23,23,38,37,45,36,2162,1992,2077,Normal,Fans appear to be working properly.,Temperature sensors appear to be working properly.
2016-05-08,01:18:12,52,53,50,45,50,41,49,35,40,46,24,25,25,27,34,31,32,36,42,36,37,34,23,23,38,37,49,37,2165,2006,2085,Normal,Fans appear to be working properly.,Temperature sensors appear to be working properly.
2016-05-08,01:18:13,47,49,46,44,50,41,48,35,40,45,24,25,25,26,34,31,32,35,42,36,37,34,23,23,38,37,47,36,2151,1991,2071,Normal,Fans appear to be working properly.,Temperature sensors appear to be working properly.
2016-05-08,01:18:14,46,47,44,44,47,41,46,35,40,45,24,25,25,27,34,31,32,35,42,36,37,34,23,23,38,37,45,36,2166,2005,2085,Normal,Fans appear to be working properly.,Temperature sensors appear to be working properly.
2016-05-08,01:18:15,50,49,47,46,50,41,48,35,40,46,24,25,25,26,34,31,32,35,42,37,37,34,23,23,38,37,47,37,2164,1992,2078,Normal,Fans appear to be working properly.,Temperature sensors appear to be working properly.
2016-05-08,01:18:16,46,45,43,43,47,41,46,35,40,46,24,25,25,27,34,31,32,35,42,36,37,34,23,23,38,37,44,36,2150,2005,2077,Normal,Fans appear to be working properly.,Temperature sensors appear to be working properly.
2016-05-08,01:18:17,48,47,44,43,47,41,47,35,40,45,24,25,25,27,34,31,32,36,42,37,37,34,23,23,38,37,45,36,2166,1992,2079,Normal,Fans appear to be working properly.,Temperature sensors appear to be working properly.
2016-05-08,01:18:18,46,46,43,42,46,41,47,35,40,46,24,25,25,27,34,31,32,35,42,36,37,34,23,23,38,37,44,36,2157,2005,2081,Normal,Fans appear to be working properly.,Temperature sensors appear to be working properly.
2016-05-08,01:18:19,46,46,43,42,47,41,46,35,40,46,24,25,25,27,34,31,32,35,42,36,37,34,23,23,38,37,44,36,2151,2000,2075,Normal,Fans appear to be working properly.,Temperature sensors appear to be working properly.
2016-05-08,01:18:20,46,45,43,42,46,41,46,35,40,45,24,25,25,27,34,31,32,36,42,36,37,34,23,23,38,37,44,36,2166,1995,2080,Normal,Fans appear to be working properly.,Temperature sensors appear to be working properly.
2016-05-08,01:18:21,48,48,44,47,47,40,46,35,40,45,24,25,25,26,34,31,32,36,42,36,37,34,23,23,38,37,46,36,2156,2003,2079,Normal,Fans appear to be working properly.,Temperature sensors appear to be working properly.
2016-05-08,01:18:22,47,45,42,44,45,40,45,35,40,46,24,25,25,27,34,31,32,35,42,36,37,34,23,23,38,37,44,36,2161,1995,2078,Normal,Fans appear to be working properly.,Temperature sensors appear to be working properly.
2016-05-08,01:18:23,45,45,42,41,45,40,44,35,40,44,24,25,25,27,34,31,32,35,42,36,37,34,23,23,38,37,43,36,2163,2004,2083,Normal,Fans appear to be working properly.,Temperature sensors appear to be working properly.
2016-05-08,01:18:24,46,46,43,43,46,40,46,35,40,48,24,25,25,27,34,31,32,36,42,36,37,34,23,23,38,37,44,36,2153,1995,2074,Normal,Fans appear to be working properly.,Temperature sensors appear to be working properly.
2016-05-08,01:18:25,46,45,43,42,46,40,45,35,40,46,24,25,25,27,34,31,32,36,42,36,37,34,23,23,38,37,44,36,2166,2003,2084,Normal,Fans appear to be working properly.,Temperature sensors appear to be working properly.
2016-05-08,01:18:26,46,46,43,42,45,40,45,35,40,46,24,25,25,27,34,31,32,36,42,36,37,34,23,23,38,37,44,36,2151,1996,2073,Normal,Fans appear to be working properly.,Temperature sensors appear to be working properly.
2016-05-08,01:18:27,46,45,43,43,45,40,45,35,39,44,24,25,25,26,34,31,32,36,42,36,37,34,23,23,38,37,44,36,2159,2004,2081,Normal,Fans appear to be working properly.,Temperature sensors appear to be working properly.
2016-05-08,01:18:28,46,46,43,42,46,40,46,35,40,47,24,25,25,26,34,31,32,36,42,36,37,34,23,23,38,37,44,36,2166,1995,2080,Normal,Fans appear to be working properly.,Temperature sensors appear to be working properly.
2016-05-08,01:18:29,46,46,43,42,46,40,46,35,39,47,24,25,25,27,34,31,32,35,42,36,37,34,23,23,39,37,44,36,2155,2003,2079,Normal,Fans appear to be working properly.,Temperature sensors appear to be working properly.
2016-05-08,01:18:30,46,45,44,42,46,40,45,35,39,46,24,25,25,27,34,31,32,35,42,36,37,34,23,23,39,37,44,36,2159,1996,2077,Normal,Fans appear to be working properly.,Temperature sensors appear to be working properly.
2016-05-08,01:18:31,46,48,45,44,47,40,48,35,40,45,24,25,25,27,34,31,32,35,43,36,37,34,23,23,39,37,45,36,2165,2003,2084,Normal,Fans appear to be working properly.,Temperature sensors appear to be working properly.
2016-05-08,01:18:32,48,48,45,46,50,40,47,35,39,45,24,25,25,27,34,31,32,35,43,36,37,34,23,23,39,37,46,36,2151,1996,2073,Normal,Fans appear to be working properly.,Temperature sensors appear to be working properly.
2016-05-08,01:18:33,66,64,61,63,56,40,51,35,39,48,24,25,25,27,34,31,32,36,43,36,37,34,23,23,39,37,57,40,2164,2004,2084,Normal,Fans appear to be working properly.,Temperature sensors appear to be working properly.
2016-05-08,01:18:34,51,49,48,48,55,40,49,35,39,47,24,25,25,27,34,31,32,35,43,36,37,34,23,23,39,37,49,37,2163,1995,2079,Normal,Fans appear to be working properly.,Temperature sensors appear to be working properly.
2016-05-08,01:18:35,63,64,60,61,59,40,53,35,39,47,24,25,25,26,34,31,32,35,43,36,36,34,23,23,39,37,57,39,2151,2003,2077,Normal,Fans appear to be working properly.,Temperature sensors appear to be working properly.
2016-05-08,01:18:36,66,65,63,61,65,40,56,35,39,48,24,25,25,26,34,31,32,35,43,36,37,34,23,23,39,37,59,40,2165,1996,2080,Normal,Fans appear to be working properly.,Temperature sensors appear to be working properly.
2016-05-08,01:18:37,62,61,62,59,65,41,55,35,39,48,24,25,25,27,34,31,32,35,43,36,37,34,23,23,39,37,58,40,2163,2003,2083,Normal,Fans appear to be working properly.,Temperature sensors appear to be working properly.
2016-05-08,01:18:38,75,65,61,59,72,41,57,35,39,50,24,25,25,27,34,31,32,35,43,36,37,34,23,23,39,37,61,41,2151,1996,2073,Normal,Fans appear to be working properly.,Temperature sensors appear to be working properly.
2016-05-08,01:18:39,53,51,50,49,54,41,50,35,39,48,24,25,25,26,34,31,32,34,43,36,37,34,23,23,39,37,50,37,2166,2003,2084,Normal,Fans appear to be working properly.,Temperature sensors appear to be working properly.
2016-05-08,01:18:40,63,52,47,48,52,42,50,35,40,49,24,25,25,26,34,31,32,35,43,36,37,34,23,23,39,37,51,38,2155,1996,2075,Normal,Fans appear to be working properly.,Temperature sensors appear to be working properly.
2016-05-08,01:18:41,57,55,52,51,54,42,51,35,40,48,24,25,25,27,34,31,32,35,43,36,37,34,23,22,39,37,52,38,2159,2005,2082,Normal,Fans appear to be working properly.,Temperature sensors appear to be working properly.
2016-05-08,01:18:42,60,59,55,53,58,42,53,35,40,50,24,25,25,27,34,31,32,35,43,36,37,34,23,23,39,37,54,39,2166,1992,2079,Normal,Fans appear to be working properly.,Temperature sensors appear to be working properly.
2016-05-08,01:18:43,55,51,48,48,52,42,49,35,40,49,24,25,25,27,34,31,32,35,43,37,37,34,23,22,39,37,49,37,2156,2006,2081,Normal,Fans appear to be working properly.,Temperature sensors appear to be working properly.
2016-05-08,01:18:44,50,50,48,47,51,42,50,35,40,48,24,25,25,26,34,31,32,36,43,36,37,34,23,22,39,37,48,37,2152,1993,2072,Normal,Fans appear to be working properly.,Temperature sensors appear to be working properly.
2016-05-08,01:18:45,51,52,49,47,53,42,49,35,40,48,24,25,25,27,34,31,32,36,43,37,36,34,23,23,39,37,49,37,2166,2006,2086,Normal,Fans appear to be working properly.,Temperature sensors appear to be working properly.
2016-05-08,01:18:46,49,48,46,46,49,42,48,35,40,49,24,25,25,27,35,31,32,36,43,36,37,34,23,22,39,37,47,37,2156,1993,2074,Normal,Fans appear to be working properly.,Temperature sensors appear to be working properly.
2016-05-08,01:18:47,52,52,50,49,55,42,51,35,40,48,24,25,25,27,35,31,32,36,43,37,37,34,23,23,39,38,50,38,2160,2004,2082,Normal,Fans appear to be working properly.,Temperature sensors appear to be working properly.
2016-05-08,01:18:48,49,49,46,45,49,42,48,35,40,47,24,25,25,27,35,31,32,36,43,36,37,34,23,23,39,38,47,37,2168,2001,2084,Normal,Fans appear to be working properly.,Temperature sensors appear to be working properly.
2016-05-08,01:18:49,48,48,45,44,48,42,48,35,41,47,24,25,25,27,35,31,32,36,43,37,37,34,23,23,39,38,46,37,2153,1996,2074,Normal,Fans appear to be working properly.,Temperature sensors appear to be working properly.
2016-05-08,01:18:50,48,47,45,45,48,42,48,35,41,46,25,25,25,27,35,31,32,36,43,37,37,34,23,22,39,38,46,37,2160,2006,2083,Normal,Fans appear to be working properly.,Temperature sensors appear to be working properly.
2016-05-08,01:18:51,57,51,48,51,49,42,50,35,41,47,25,25,25,27,35,31,32,36,43,36,37,34,23,22,39,38,50,38,2166,1992,2079,Normal,Fans appear to be working properly.,Temperature sensors appear to be working properly.
2016-05-08,01:18:52,81,81,78,77,78,42,60,35,41,54,25,25,25,27,35,31,32,36,43,37,37,34,23,23,39,38,71,44,2151,2002,2076,Normal,Fans appear to be working properly.,Temperature sensors appear to be working properly.
2016-05-08,01:18:53,86,87,82,79,86,42,64,35,41,54,25,25,25,28,35,32,32,36,43,37,37,34,23,23,39,38,75,45,2163,2002,2082,Normal,Fans appear to be working properly.,Temperature sensors appear to be working properly.
2016-05-08,01:18:54,85,87,80,77,87,42,64,35,41,55,25,25,25,28,35,32,32,36,43,37,36,34,23,23,39,38,74,45,2160,2004,2082,Normal,Fans appear to be working properly.,Temperature sensors appear to be working properly.
2016-05-08,01:18:55,79,77,73,77,84,42,64,35,41,54,25,25,25,28,35,32,32,36,43,37,37,34,23,23,39,38,71,44,2194,2028,2111,Normal,Fans appear to be working properly.,Temperature sensors appear to be working properly.
